Provinsi/Kabupaten/Kota,,,,,,,
,[Metode Baru] Indeks Pembangunan Manusia,,,,,,
Belu,63.22,63.83,,,,,
Alor,62.26,62.99,,,,,
Lembata,65.47,66.12,,,,,
Flores Timur,64.93,65.79,,,,,
Sikka,66.06,66.89,,,,,
Ende,67.97,68.63,,,,,
Ngada,68.26,69.14,,,,,
Manggarai,65.83,66.42,,,,,
Rote Ndao,63.21,64,,,,,
Manggarai Barat,64.92,65.81,,,,,
Sumba Tengah,62.71,63.48,,,,,
Sumba Barat Daya,63.15,63.74,,,,,
Nagekeo,66.22,67.07,,,,,
Manggarai Timur,62.3,63.24,,,,,
Sabu Raijua,57.9,58.89,,,,,
Malaka,61.34,62.06,,,,,
Kota Kupang,80.2,80.62,,,,,
KALIMANTAN BARAT,68.63,69.41,,,,,
Sambas,67.95,68.69,,,,,
Bengkayang,68.74,69.53,,,,,
Landak,67.17,68.14,,,,,
Mempawah,66.94,67.92,,,,,
Sanggau,66.91,67.77,,,,,
Ketapang,67.92,68.68,,,,,
Sintang,67.86,68.67,,,,,
Kapuas Hulu,66.7,67.67,,,,,
Sekadau,65.58,66.33,,,,,
Melawi,66.81,67.76,,,,,
Kayong Utara,63.81,64.79,,,,,
Kubu Raya,68.91,69.6,,,,,
Kota Pontianak,80.48,81.03,,,,,
Kota Singkawang,72.89,73.39,,,,,
KALIMANTAN TENGAH,71.63,72.2,,,,,
Kotawaringin Barat,73.41,74.04,,,,,
Kotawaringin Timur,71.67,72.21,,,,,
Kapuas,70.01,70.75,,,,,
Barito Selatan,71.01,71.65,,,,,
Barito Utara,71.21,71.84,,,,,
Sukamara,68.94,69.44,,,,,
Lamandau,71.11,71.81,,,,,
Seruyan,68.24,68.68,,,,,
Katingan,69.74,70.28,,,,,
Pulang Pisau,69.01,69.6,,,,,
Gunung Mas,71.4,72.09,,,,,
Barito Timur,72.07,72.7,,,,,
Murung Raya,68.63,69.42,,,,,
Kota Palangka Raya,81.16,81.68,,,,,
KALIMANTAN SELATAN,71.84,72.5,,,,,
Tanah Laut,70.35,70.98,,,,,
Kotabaru,69.74,70.18,,,,,
Banjar,70.72,71.46,,,,,
Barito Kuala,67.37,68.11,,,,,
Tapin,71.02,72,,,,,
Hulu Sungai Selatan,69.76,70.5,,,,,
Hulu Sungai Tengah,69.7,70.13,,,,,
Hulu Sungai Utara,66.84,67.66,,,,,
Tabalong,73.13,73.85,,,,,
Tanah Bumbu,71.79,72.31,,,,,
Balangan,69.73,70.49,,,,,
Kota Banjarmasin,77.97,78.5,,,,,
Kota Banjar Baru,79.68,80.11,,,,,
KALIMANTAN TIMUR,77.44,78.2,,,,,
Paser,73.44,74.14,,,,,
Kutai Barat,72.92,73.72,,,,,
Kutai Kartanegara,74.67,75.3,,,,,
Kutai Timur,74.35,74.98,,,,,
Berau,75.74,76.21,,,,,
Penajam Paser Utara,72.55,73.3,,,,,
Mahakam Ulu,68.75,69.59,,,,,
Kota Balikpapan,81.13,81.66,,,,,
Kota Samarinda,81.43,82.32,,,,,
Kota Bontang,80.94,81.56,,,,,
KALIMANTAN UTARA,71.83,72.49,,,,,
Malinau,72.75,73.19,,,,,
Bulungan,72.08,72.72,,,,,
Tana Tidung,68.6,69.2,,,,,
Nunukan,67.16,67.7,,,,,
Kota Tarakan,76.68,77.53,,,,,
SULAWESI UTARA,73.81,74.36,,,,,
Bolaang Mongondow,68.95,69.62,,,,,
Minahasa,76.18,76.96,,,,,
Kepulauan Sangihe,71.63,72.22,,,,,
Kepulauan Talaud,70.43,71.14,,,,,
Minahasa Selatan,72.89,73.66,,,,,
Minahasa Utara,74.69,75.31,,,,,
Bolaang Mongondow Utara,68.06,68.64,,,,,
Siau Tagulandang Biaro,68.94,69.57,,,,,
Minahasa Tenggara,71.48,71.93,,,,,
